,Appellation,Robert,Robinson,Suckling,Prix
471,Saint-Julien,93.0,17.5,97.0,69.00
472,Pessac-Léognan,98.0,18.5,100.0,740.00
473,Haut-Médoc,90.0,14.5,91.0,17.50
474,Canon-Fronsac,92.0,,91.0,27.00
475,Pauillac,94.0,16.5,96.0,85.00
476,Saint-Emilion,87.0,15.5,,40.00
477,Haut-Médoc,93.0,,95.0,43.67
478,Saint-Estèphe,94.0,16.5,98.0,265.00
479,Pomerol,91.0,,92.0,90.00
480,Médoc,86.0,15,90.0,29.00
481,Saint-Estèphe,78.0,14,94.0,43.33
482,Pessac-Léognan,88.0,16.5,93.0,35.00
483,Pessac-Léognan,99.0,17.5,98.0,775.00
484,Saint-Emilion,90.0,14.5,92.0,35.00
485,Saint-Emilion,97.0,17.5,97.0,85.00
486,Bordeaux Blancs Secs,,14.5,,24.00
487,Saint-Emilion,95.0,16.5,97.0,114.33
488,Saint-Emilion,98.0,16.5,97.0,134.17
489,Pauillac,88.0,17,93.0,56.00
490,Pomerol,92.0,16.5,93.0,107.00
491,Médoc,90.0,16,93.5,23.50
492,Saint-Emilion,90.0,15.5,92.0,22.50
493,Saint-Emilion,93.0,16,93.5,30.50
494,Saint-Emilion,93.0,15.5,95.0,38.00
495,Pomerol,,,,38.00
496,Pessac-Léognan,94.0,16.5,99.5,153.00
497,Bordeaux Blancs Secs,88.0,,,12.50
498,Pomerol,89.0,16,93.0,39.00
499,Margaux,93.0,16,93.0,52.00
500,Saint-Julien,94.0,16.5,95.0,63.00
501,Haut-Médoc,,,92.0,21.00
502,Saint-Estèphe,93.0,,94.5,42.00
503,Saint-Emilion,87.0,14.5,89.0,20.00
504,Pauillac,,,92.5,33.00
505,Saint-Emilion,92.0,16,91.0,25.50
506,Saint-Emilion,91.0,15.5,94.0,23.50
507,Pessac-Léognan,97.0,18,98.0,799.33
508,Pessac-Léognan,95.0,16.5,97.5,66.00
509,Pauillac,93.0,16,93.0,254.00
510,Saint-Julien,93.0,16.5,94.5,54.00
511,Saint-Emilion,88.0,15.5,88.5,21.00
512,Saint-Estèphe,91.0,16.5,93.0,29.00
513,Saint-Emilion,91.0,15.5,93.0,24.50
514,Barsac,95.0,16.5,92.0,45.00
515,Pauillac,100.0,17,99.0,1290.00
516,Pomerol,,16.5,95.0,33.00
517,Saint-Emilion,95.0,16,97.0,110.00
518,Pomerol,93.0,16.5,96.0,99.00
519,Haut-Médoc,86.0,16,88.5,16.00
520,Margaux,90.0,,97.0,70.67
521,Saint-Emilion,90.0,16,94.0,23.00
522,Pomerol,93.0,16.5,94.0,72.83
523,Saint-Julien,91.0,16.5,93.5,32.50
524,Saint-Julien,91.0,16.5,94.0,55.00
525,Saint-Julien,94.0,17,93.5,89.00
526,Saint-Emilion,89.0,16,93.0,28.50
527,Haut-Médoc,90.0,14,,61.00
528,Saint-Emilion,93.0,16.5,95.0,36.42
529,Margaux,90.0,16.5,94.5,30.17
530,Saint-Emilion,95.0,16.5,97.0,139.00
531,Pessac-Léognan,92.0,17,94.0,34.33
532,Pomerol,93.0,16,94.0,105.00
533,Saint-Emilion,86.0,16,92.0,19.50
534,Pessac-Léognan,92.5,15,95.0,91.00
535,Pessac-Léognan,91.0,,94.0,26.00
