Appellation,Robert,Robinson,Suckling,Prix
Saint-Emilion,92,16.5,93,24.50
Pauillac,97.0,16.5,97.5,98.00
Canon-Fronsac,91.0,None,92,22.83
Pauillac,91,17.5,95,65.00
Pomerol,86,16,91,38.00
Margaux,92,16.5,96,45.00
Saint-Emilion,92,16,93,24.00
Saint-Emilion,90.5,16,92.5,135.83
Saint-Emilion,91.0,16.5,93.5,249.17
Pessac-Léognan,94,16.5,93,45.50
Pessac-Léognan,90.0,None,93,24.00
Margaux,96,18,98,133.00
Saint-Emilion,92.0,16,92.5,36.00
Pauillac,97,17.5,97,270.00
Saint-Emilion,92,16.5,96,99.00
Pauillac,97,19,100,850.00
Saint-Emilion,95,17,97,140.00
Saint-Julien,93.5,17,95.5,48.00
Saint-Emilion,90,16,92.5,41.00
Saint-Estèphe,92.0,16,93.5,29.00
Pessac-Léognan,100,18.5,97,890.00
Barsac,94,17.5,94,46.00
Médoc,88.0,None,92,20.00
Pauillac,94,16,95,75.00
Saint-Emilion,91,15,88.5,54.00
Margaux,None,16.5,93,38.00
Margaux,97,18,98,450.00
Pomerol,95,16,95,120.00
Pessac-Léognan,97,18,97,640.00
Saint-Julien,94,16,96,137.50
Médoc,90,15,94,35.33
Pessac-Léognan,None,16,94,33.00
Pauillac,92.0,16.5,95,109.00
Pauillac,94.0,17.5,97.5,106.00
Sauternes,91,None,91,24.00
Saint-Julien,94.0,None,94.5,47.00
Pomerol,89,16,93,57.00
Saint-Estèphe,90.5,16.5,93.5,24.50
Pomerol,91.0,None,92.5,31.00
Pessac-Léognan,95.0,None,93.5,30.50
Saint-Emilion,87,16.5,93,46.00
Saint-Estèphe,90,16,94,32.00
Haut-Médoc,82,14,90.5,32.00
Listrac,91,15.5,90,18.00
Margaux,97,17.5,98,399.00
Haut-Médoc,None,None,91,15.08
Haut-Médoc,91.0,16.5,94.5,36.83
Saint-Julien,93.0,16.5,94.5,46.00
Pauillac,98,17.5,98,208.50
Saint-Emilion,None,16.5,94,34.00
Saint-Emilion,92,16,93,38.00
Canon-Fronsac,90,None,91.5,21.00
Margaux,94.0,16.5,95.5,48.00
Saint-Emilion,93,16,96,85.00
Pessac-Léognan,95,17.5,96,335.00
Saint-Emilion,95,16,95,105.00
Pauillac,93,17,95,143.00
Saint-Emilion,95.0,16.5,96,103.67
Pessac-Léognan,None,16,92.5,30.00
Saint-Julien,94.0,16.5,95.5,83.00
Saint-Emilion,89,None,95,32.00
Haut-Médoc,90,16,92,22.00
Pauillac,88.0,16.5,95,43.67
Saint-Emilion,94,17,97,136.00
Margaux,89.0,16,93,50.00
Saint-Emilion,94.0,16.5,98.5,72.00
Lalande de Pomerol,91.0,16.5,95,122.00
Castillon Côtes de Bordeaux,91.0,16,95,25.50
Pessac-Léognan,92,None,91.5,23.42
Pauillac,92.0,16.5,95.5,193.50
Pauillac,93.0,16.5,95,61.00
Pomerol,90,None,93,35.00
Pessac-Léognan,88.0,None,92.5,103.33
Margaux,None,16,93.5,40.00
Margaux,94.0,None,96.5,49.00
Sauternes,93.0,None,None,69.58
Saint-Emilion,92.0,17,97.5,132.00
Pomerol,89.0,None,91.5,29.00
Saint-Julien,95.0,17.5,98,289.00
Médoc,90,16.5,94,30.58
Pauillac,90,16.5,None,31.00
Saint-Emilion,92,16,93,34.33
Saint-Julien,91.0,16,93.5,185.83
Margaux,94.0,17,95.5,64.83
Pomerol,89.0,16,95.5,69.83
Saint-Emilion,84,None,95,39.00
Saint-Emilion,None,16.5,94,37.42
Margaux,90.0,None,92.5,25.00
Pauillac,91,15.5,93,58.00
Pessac-Léognan,96,17,99,162.17
Pauillac,94,17.5,96,95.00
Saint-Estèphe,95.5,17.5,98.5,166.00
Saint-Julien,94,16.5,96,78.00
Pauillac,90,15,None,25.00
Pessac-Léognan,91.0,16,93.5,28.83
Pessac-Léognan,89,16.5,None,29.50
Pessac-Léognan,94,16,95.5,145.00
Pauillac,95.0,16.5,95.5,420.00
Pauillac,None,16,94.5,36.17
Pomerol,92,16,92,75.00
Pessac-Léognan,92,15.5,95,41.00
Margaux,95.0,17,None,89.00
Pomerol,89,None,None,36.00
Pauillac,None,16,None,48.00
Pauillac,88.0,17,94.5,420.00
Saint-Julien,96,17,96,116.00
Saint-Emilion,92.0,15.5,94,37.00
Saint-Julien,86.5,None,None,109.17
Margaux,88.0,16,94,22.92
Saint-Estèphe,91,16,93,44.00
Sauternes,93.0,17,93,55.00
Saint-Emilion,89.0,None,91,18.00
Margaux,91.5,16,93.5,35.00
Saint-Emilion,None,16.5,95.5,28.00
Haut-Médoc,87,15,91,17.50
Saint-Emilion,93,15.5,95,40.00
Pessac-Léognan,91,None,93,37.42
Saint-Estèphe,97,17,95,165.00
Saint-Emilion,95.0,17,97.5,101.67
Bordeaux Blancs Secs,92.0,None,None,21.67
Pessac-Léognan,92,16.5,96,175.00
Saint-Emilion,99.0,18,98.5,571.67
Saint-Emilion,92,None,89,69.00
Pessac-Léognan,94,16.5,95.5,66.00
Castillon Côtes de Bordeaux,90.0,16,91.5,17.00
Saint-Emilion,92.0,16,95.5,31.67
Margaux,95.0,16.5,96.5,60.00
Saint-Emilion,90,16,94,43.00
Saint-Julien,89.0,16.5,93.5,226.67
Pomerol,84,16,94,80.00
Haut-Médoc,None,None,90,14.50
Haut-Médoc,85.0,16,93.5,142.50
Pauillac,100,18.5,100,895.00
Saint-Emilion,91,15.5,94,69.00
Pessac-Léognan,92,16,93,80.00
Saint-Emilion,94,17.5,94,415.00
Saint-Emilion,96,None,96,78.00
Saint-Emilion,92.0,16,93,40.58
Saint-Emilion,96,16.5,94.5,245.00
Saint-Julien,None,16,92.5,30.00
Pomerol,91,16,93,89.00
